EAN;TITRE UK;REF BEMS;GENRE;PVP;PA;STOCK;RELEASE DATE;DATE IN;PEGI;POIDS;EAN ASSOC;IMG2;IMG3;IMG4;IMG5;IMG6;DESC UK;LICENCE;FABRICANT;INTRASTAT;PAYS ORIGINE;TAILLE 
0889698748988;STRANGER THINGS - Eddie & Dustin - POP Puzzles;228556;;16.99;8.04;35;;20231208;0;0.615;;;;;;;;Stranger Things;Funko;9503-0069;CN; 
5060525894992;BEETLEJUICE - Figure 20 cm - Controller & Phone Support;228531;;32.99;18.70;1;;20231213;0;0.343;;https://www.pro-bems.com/IMAGES/images_1/FIG73990016318/m/FIG73990016318_2.png;https://www.pro-bems.com/IMAGES/images_1/FIG73990016318/m/FIG73990016318_3.png;https://www.pro-bems.com/IMAGES/images_1/FIG73990016318/m/FIG73990016318_4.png;;;;Horror;;9503-0049;CN; 
3760158113959;MONCCHICHI - LED Light-Up Figure 3,5inch;228373;;17.99;9.81;20;;20231214;0;0.069;;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811395/m/FIGTKPO811395_2.jpg;;;;;;Moncchichi;Teknofun;9405-2140;CN; 
3760158117537;DEMON SLAYER - Rengoku - LED Light-Up Alarm Clock - 8inch;228370;;47.99;27.90;6;;20231214;0;0.28;;https://www.pro-bems.com/IMAGES/images_1/FIGTK811753/m/FIGTK811753_2.png;;;;;;Demon Slayer;Teknofun;9105-1100;; 
3760158113508;DRAGON BALL Z - Vegeta - LED Light-Up Alarm Clock - 7inch;228366;;44.99;27.00;5;;20231214;0;0.28;;https://www.pro-bems.com/IMAGES/images_1/FIGTK811350/m/FIGTK811350_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGTK811350/m/FIGTK811350_3.jpg;;;;;Dragon Ball;Teknofun;9105-1100;; 
3760158116257;DRAGON BALL Z - Radar - LED Lamp 3inch;228365;;15.99;8.76;15;;20231214;0;0.069;;;;;;;;Dragon Ball;Teknofun;9405-2140;CN; 
3760158116172;SASUKE x CHOCOCAT - Plush 8inch;228364;;34.99;19.50;7;;20231214;0;0.069;;;;;;;;Naruto;Teknofun;9503-0041;CN; 
3760158116165;SAKURA x MY MELODY - Plush 8inch;228363;;34.99;19.50;7;;20231214;0;0.069;;;;;;;;Naruto;Teknofun;9503-0041;CN; 
3760158116158;KAKASHI x POCHACCO - Plush 8inch;228362;;34.99;19.50;20;;20231218;0;0.069;;;;;;;;Naruto;Teknofun;9503-0041;CN; 
3760158116141;ITACHI x BADTZ-MARU - Plush 8inch;228361;;34.99;19.50;15;;20231214;0;0.069;;;;;;;;Naruto;Teknofun;9503-0041;CN; 
3760158116134;NARUTO x HELLO KITTY - Plush 8inch;228360;;34.99;19.50;19;;20231214;0;0.069;;;;;;;;Naruto;Teknofun;9503-0041;CN; 
